,0
760,Arhgap44
761,Arhgap5
762,Arhgap6
763,Arhgap8
764,Arhgap9
765,Arhgdia
766,Arhgdib
767,Arhgdig
768,Arhgef1
769,Arhgef10
770,Arhgef10l
771,Arhgef11
772,Arhgef12
773,Arhgef15
774,Arhgef16
775,Arhgef17
776,Arhgef18
777,Arhgef19
778,Arhgef2
779,Arhgef25
780,Arhgef26
781,Arhgef28
782,Arhgef3
783,Arhgef33
784,Arhgef37
785,Arhgef38
786,Arhgef39
787,Arhgef4
788,Arhgef40
789,Arhgef5
790,Arhgef6
791,Arhgef7
792,Arhgef9
793,Arid1a
794,Arid1b
795,Arid2
796,Arid3a
797,Arid3b
798,Arid4a
799,Arid4b
800,Arid5a
801,Arid5b
802,Arih1
803,Arih2
804,Arl1
805,Arl10
806,Arl11
807,Arl13b
808,Arl14
809,Arl14ep
810,Arl15
811,Arl16
812,Arl2
813,Arl2bp
814,Arl3
815,Arl4a
816,Arl4c
817,Arl4d
818,Arl5a
819,Arl5b
820,Arl5c
821,Arl6
822,Arl6ip1
823,Arl6ip4
824,Arl6ip5
825,Arl6ip6
826,Arl8a
827,Arl8b
828,Arl9
829,Armc1
830,Armc10
831,Armc2
832,Armc3
833,Armc5
834,Armc6
835,Armc7
836,Armc8
837,Armc9
838,Armcx1
839,Armcx2
840,Armcx3
841,Armcx4
842,Armcx5
843,Armcx6
844,Arnt
845,Arnt2
846,Arntl
847,Arntl2
848,Arpc1a
849,Arpc1b
850,Arpc2
851,Arpc3
852,Arpc4
853,Arpc5
854,Arpc5l
855,Arpp19
856,Arpp21
857,Arrb1
858,Arrb2
859,Arrdc1
860,Arrdc2
861,Arrdc3
862,Arrdc4
863,Arsa
864,Arsb
865,Arsg
866,Arsj
867,Arsk
868,Art1
869,Art3
870,Art4
871,Art5
872,Arv1
873,Arvcf
874,Arx
875,Arxes1
876,As3mt
877,Asah1
878,Asah2
879,Asap1
880,Asap2
881,Asap3
882,Asb1
883,Asb10
884,Asb11
885,Asb12
886,Asb13
887,Asb14
888,Asb15
889,Asb16
890,Asb2
891,Asb3
892,Asb4
893,Asb6
894,Asb7
895,Asb8
896,Asb9
897,Ascc1
898,Ascc2
899,Ascc3
900,Ascl2
901,Ascl4
902,Asf1a
903,Asf1b
904,Asgr1
905,Asgr2
906,Ash1l
907,Ash2l
908,Asic1
909,Asic2
910,Asic3
911,Asl
912,Asmt
913,Asna1
914,Asns
915,Asnsd1
916,Aspa
917,Aspdh
918,Aspg
919,Asph
920,Asphd1
921,Asphd2
922,Aspm
923,Aspn
924,Asprv1
925,Aspscr1
926,Asrgl1
927,Ass1
928,Aste1
929,Astl
930,Astn2
931,Asxl1
932,Asxl2
933,Asxl3
934,Asz1
935,Atad1
936,Atad2
937,Atad2b
938,Atad3a
939,Atad5
940,Atat1
941,Atcay
942,Ate1
943,Atf1
944,Atf2
945,Atf3
946,Atf4
947,Atf5
948,Atf6
949,Atf6b
950,Atf7
951,Atf7ip
952,Atf7ip2
953,Atg10
954,Atg12
955,Atg13
956,Atg14
957,Atg16l1
958,Atg16l2
959,Atg2a
960,Atg2b
961,Atg3
962,Atg4a
963,Atg4b
964,Atg4c
965,Atg4d
966,Atg5
967,Atg7
968,Atg9a
969,Atg9b
970,Atic
971,Atl1
972,Atl2
973,Atl3
974,Atm
975,Atmin
976,Atn1
977,Atoh1
978,Atoh8
979,Atox1
980,Atp10a
981,Atp10b
982,Atp10d
983,Atp11a
984,Atp11b
985,Atp11c
986,Atp13a1
987,Atp13a2
988,Atp13a3
989,Atp13a4
990,Atp13a5
991,Atp1a1
992,Atp1a2
993,Atp1a3
994,Atp1b1
995,Atp1b2
996,Atp1b3
997,Atp1b4
998,Atp2a1
999,Atp2a2
1000,Atp2a3
1001,Atp2b1
1002,Atp2b2
1003,Atp2b3
1004,Atp2b4
1005,Atp2c1
1006,Atp2c2
1007,Atp4a
1008,Atp5a1
1009,Atp5b
1010,Atp5c1
1011,Atp5d
1012,Atp5e
1013,Atp5f1
1014,Atp5g1
1015,Atp5g2
1016,Atp5g3
1017,Atp5h
1018,Atp5j
1019,Atp5j2
1020,Atp5l
1021,Atp5o
1022,Atp5s
1023,Atp5sl
1024,Atp6ap1
1025,Atp6ap1l
1026,Atp6ap2
1027,Atp6v0a1
1028,Atp6v0a2
1029,Atp6v0a4
1030,Atp6v0b
1031,Atp6v0c
1032,Atp6v0d1
1033,Atp6v0d2
1034,Atp6v0e
1035,Atp6v0e2
1036,Atp6v1a
1037,Atp6v1b1
1038,Atp6v1b2
1039,Atp6v1c1
1040,Atp6v1c2
1041,Atp6v1d
1042,Atp6v1e1
1043,Atp6v1e2
1044,Atp6v1f
1045,Atp6v1g1
1046,Atp6v1g2
1047,Atp6v1h
1048,Atp7a
1049,Atp7b
1050,Atp8a1
1051,Atp8a2
1052,Atp8b1
1053,Atp8b2
1054,Atp8b3
1055,Atp8b4
1056,Atp9a
1057,Atp9b
1058,Atpaf1
1059,Atpaf2
1060,Atpif1
1061,Atr
1062,Atraid
1063,Atrip
1064,Atrn
1065,Atrnl1
1066,Atrx
1067,Atxn1
1068,Atxn10
1069,Atxn1l
1070,Atxn2
1071,Atxn2l
1072,Atxn3
1073,Atxn7
1074,Atxn7l1
1075,Atxn7l2
1076,Atxn7l3
1077,Atxn7l3b
1078,Auh
1079,Aup1
1080,Aurka
1081,Aurkaip1
1082,Aurkb
1083,Aurkc
1084,Auts2
1085,Aven
1086,Avil
1087,Avl9
1088,Avpi1
1089,Avpr1a
1090,Avpr1b
1091,Avpr2
1092,Awat1
1093,Awat2
1094,Axin1
1095,Axin2
1096,Axl
1097,Azgp1
1098,Azi2
1099,Azin1
1100,B2m
1101,B3galnt1
1102,B3galnt2
1103,B3galt1
1104,B3galt2
1105,B3galt4
1106,B3galt5
1107,B3galt6
1108,B3gat2
1109,B3gat3
1110,B3gnt2
1111,B3gnt3
1112,B3gnt4
1113,B3gnt5
1114,B3gnt6
1115,B3gnt7
1116,B3gnt8
1117,B3gnt9
1118,B3gntl1
1119,B4galnt1
1120,B4galnt2
1121,B4galnt3
1122,B4galnt4
1123,B4galt1
1124,B4galt2
1125,B4galt3
1126,B4galt4
1127,B4galt5
1128,B4galt6
1129,B4galt7
1130,B9d1
1131,B9d2
1132,Baalc
1133,Baat
1134,Babam1
1135,Bace1
1136,Bace2
1137,Bach1
1138,Bach2
1139,Bad
1140,Bag1
1141,Bag2
1142,Bag3
1143,Bag4
1144,Bag5
1145,Bag6
1146,Bahcc1
1147,Bahd1
1148,Baiap2
1149,Baiap2l1
1150,Baiap2l2
1151,Baiap3
1152,Bak1
1153,Bambi
1154,Banf1
1155,Banf2
1156,Bank1
1157,Banp
1158,Bap1
1159,Bard1
1160,Barx1
1161,Barx2
1162,Basp1
1163,Batf
1164,Batf2
1165,Batf3
1166,Bax
1167,Baz1a
1168,Baz1b
1169,Baz2a
1170,Baz2b
1171,Bbc3
1172,Bbip1
1173,Bbox1
1174,Bbs1
1175,Bbs10
1176,Bbs12
1177,Bbs2
1178,Bbs4
1179,Bbs5
1180,Bbs7
1181,Bbs9
1182,Bbx
1183,Bcam
1184,Bcap29
1185,Bcap31
1186,Bcar1
1187,Bcar3
1188,Bcas1
1189,Bcas2
1190,Bcas3
1191,Bcat1
1192,Bcat2
1193,Bccip
1194,Bcdin3d
1195,Bche
1196,Bckdha
1197,Bckdhb
1198,Bckdk
1199,Bcl10
1200,Bcl11a
1201,Bcl11b
1202,Bcl2
1203,Bcl2a1d
1204,Bcl2l1
1205,Bcl2l10
1206,Bcl2l11
1207,Bcl2l12
1208,Bcl2l13
1209,Bcl2l14
1210,Bcl2l15
1211,Bcl2l2
1212,Bcl3
1213,Bcl6
1214,Bcl6b
1215,Bcl7a
1216,Bcl7b
1217,Bcl7c
1218,Bcl9
1219,Bcl9l
1220,Bclaf1
1221,Bco2
1222,Bcor
1223,Bcorl1
1224,Bcr
1225,Bcs1l
1226,Bdh1
1227,Bdh2
1228,Bdkrb1
1229,Bdnf
1230,Bdp1
1231,Bean1
1232,Becn1
1233,Begain
1234,Bend3
1235,Bend4
1236,Bend5
1237,Bend6
1238,Bend7
1239,Best1
1240,Best2
1241,Bet1
1242,Bet1l
1243,Bex2
1244,Bex4
1245,Bfar
1246,Bfsp1
1247,Bfsp2
1248,Bglap2
1249,Bgn
1250,Bhlha15
1251,Bhlhb9
1252,Bhlhe40
1253,Bhlhe41
1254,Bhmt
1255,Bhmt2
1256,Bicc1
1257,Bicd1
1258,Bicd2
1259,Bid
1260,Bik
1261,Bin1
1262,Bin2
1263,Bin3
1264,Birc2
1265,Birc3
1266,Birc5
1267,Birc6
1268,Bivm
1269,Blcap
1270,Blk
1271,Blm
1272,Blmh
1273,Blnk
1274,Bloc1s1
1275,Bloc1s2
1276,Bloc1s3
1277,Bloc1s4
1278,Bloc1s5
1279,Bloc1s6
1280,Blvra
1281,Blvrb
1282,Blzf1
1283,Bmf
1284,Bmi1
1285,Bmp1
1286,Bmp2
1287,Bmp2k
1288,Bmp3
1289,Bmp4
1290,Bmp5
1291,Bmp6
1292,Bmp7
1293,Bmp8a
1294,Bmp8b
1295,Bmpr1a
1296,Bmpr1b
1297,Bmpr2
1298,Bms1
1299,Bmx
1300,Bnc1
1301,Bnc2
1302,Bnip1
1303,Bnip2
1304,Bnip3
1305,Bnip3l
1306,Bnipl
1307,Boc
1308,Bod1
1309,Bod1l
1310,Bok
1311,Bola1
1312,Bola2
1313,Bola3
1314,Boll
1315,Bop1
1316,Bora
1317,Bpgm
1318,Bphl
1319,Bpi
1320,Bpifb1
1321,Bpifb2
1322,Bpifc
1323,Bpnt1
1324,Bptf
1325,Braf
1326,Brap
1327,Brat1
1328,Brca1
1329,Brca2
1330,Brcc3
1331,Brd1
1332,Brd2
1333,Brd3
1334,Brd4
1335,Brd7
1336,Brd8
1337,Brd9
1338,Brdt
1339,Brf1
1340,Brf2
1341,Bri3
1342,Bri3bp
1343,Bricd5
1344,Brip1
1345,Brix1
1346,Brk1
1347,Brms1
1348,Brms1l
1349,Brox
1350,Brpf1
1351,Brpf3
1352,Brsk1
1353,Brsk2
1354,Brwd1
1355,Brwd3
1356,Bscl2
1357,Bsdc1
1358,Bsg
1359,Bsn
1360,Bspry
1361,Bst1
1362,Bst2
1363,Btaf1
1364,Btbd1
1365,Btbd10
1366,Btbd11
1367,Btbd16
1368,Btbd17
1369,Btbd19
1370,Btbd2
1371,Btbd3
1372,Btbd6
1373,Btbd7
