Protein IDs,lab2,lab3,non2,non3
Q9WTR5,56.54861111,54.62261912,56.19805687,56.30200186
Q3U4F0,341.7395833,370.1942247,358.2903248,354.1606769
P0DN34,49.78472222,56.66960536,50.74158343,54.36263684
Q91V41,402.3263889,385.1995575,407.4755012,393.8844309
Q9JKV5,36.1875,33.01670986,32.8189232,36.95970559
Q8BKC5,178.2569444,179.7763861,180.801107,180.4213629
F8VQF9,16.80138889,14.730447,17.75932798,15.08928691
P80313,199.9166667,181.4356563,199.5458578,191.4231813
Q8BZ98,175.0833333,170.2632375,177.6656708,173.1170255
Q8R366,711.2847222,682.9555797,698.3924046,713.8192423
E9Q6L0,12.59097222,11.726615,13.48237579,11.65401293
Q80XI4,187.2673611,201.0205746,201.0479716,190.3538118
Q9D517,101.2465278,102.7862528,99.83174662,105.0640425
J3JS22,33.40451389,40.31528601,34.78343462,37.59709814
P14873,1609.861111,1493.453722,1588.847245,1578.045002
P57746,136.1805556,136.6685485,137.8008387,137.9758523
Q99JP7,33.63159722,31.01120538,34.83229856,31.75785736
Q9EPN1,73.15277778,72.8143036,75.08306528,73.02524911
Q8VEK3,825.1388889,835.4978124,840.7765002,837.3404815
E0CYT5,75.10416667,76.53659955,80.63002749,73.81368255
P43274,73.57986111,73.41164084,75.67124235,73.51160077
Q99P72,597.6736111,571.839791,606.8630037,586.4917727
F6QKK2,73.95833333,71.99573034,71.85261582,75.56575686
Q9CRY7,177.2430556,147.1661975,185.624159,155.6325322
A0A1B0GRR3,186.9861111,144.8432193,191.7185783,160.1667797
Q9D832,36.72222222,35.85406176,36.29685947,37.1832461
Q8K596,244.2395833,320.7756297,246.1656774,297.7650298
Q61771,10.69861111,10.4605919,10.74192308,10.73356975
A0A286YCQ0,169.6319444,163.2555867,174.2859148,165.8580004
G3UYV7,135.3541667,137.8853466,135.5114726,139.7188641
Q9D0K2,192.4236111,189.1291387,196.2882618,191.7735962
P80314,412.0486111,350.7586407,409.6019875,382.5563641
Q923Z0,71.70833333,95.88368909,71.93405572,88.83923017
A2AC24,54.41666667,70.34199111,59.01225792,62.90248871
D3YZA1,38.49652778,40.11119578,40.04264251,39.35521409
E0CZ78,253.3576389,245.693657,258.6712268,250.3593363
P63268,244.2013889,209.0569729,241.3833453,228.6215315
P17426,364.0625,349.3537919,380.0438274,351.9252718
F6T9H9,224.9965278,233.5643924,225.1632315,235.5331626
Q99020,166.9027778,157.4536722,170.9604522,161.8282295
P60766,486.9444444,456.6643213,495.2903378,472.727775
Q99JY0,142.5659722,128.1233075,142.9722725,136.1482576
O08795,81.84722222,68.90395701,83.83333031,73.97680671
Q3U1J4,181.6493056,212.2925496,190.9132282,199.6760555
Q9CZW5,483.1944444,468.1077542,491.6255422,479.0714923
F6TFN2,20.82673611,18.08327882,18.63933137,20.9880378
D3YWK1,34.38819444,35.73016959,33.8618064,36.42502084
Q80UE4,355.2083333,340.9246999,360.6747041,350.6565284
Q9QYK5,29.68611111,34.885048,32.29363583,32.04181423
A0A0G2JDN7,594.6875,586.9944579,622.1103631,585.4949028
G3UZX6,105.9131944,89.01431081,109.1339932,95.37627987
Q149F3,165.90625,149.7435971,173.6932134,154.342643
Q80TL4,204.7152778,221.6176476,204.1245901,221.335319
O35704,44.14930556,46.25215448,49.72358465,42.91977907
B7ZNF6,223.1736111,240.3010291,229.352862,235.9560771
Q3ULJ0,210.5,216.5845282,206.0203301,222.9031235
P39053,1648.506944,1550.145451,1664.631598,1616.258347
Q6XE40,126.1875,118.0570687,129.475871,122.0138511
Q9CR16,921.7708333,852.6989126,941.5810012,888.150637
A2ALS7,90.73611111,95.34166087,91.941125,95.39742563
Q8BWW3,77.89583333,86.42031854,79.81110403,84.3019619
A0A0G2JF72,144.4652778,133.6708005,146.2751129,140.1236537
P15532,344.0034722,369.5360475,346.5313077,368.449145
Q8BK64,34.40659722,33.81813733,35.66389045,34.13222014
A0A140T8I9,183.3784722,167.0331917,187.5244233,175.0563906
Q9QYX7,299.4027778,269.6203321,304.4449761,284.9507207
Q3UR42,141.6215278,148.803344,145.5421538,147.6877814
Q62261,3953.472222,3745.359814,3933.049582,3943.073453
P28798,71.375,76.74677377,71.52233178,76.82241706
P14231,473.8194444,401.2336377,482.5766641,434.0915155
A0A0U1RQ05,43.1875,52.11712126,44.728604,49.24235069
A0A494BAV2,38.63541667,37.11012923,38.01976584,39.16792338
Q3THK7,185.25,182.5584291,192.8858836,183.7654082
Q9CRB9,607.0833333,562.2160243,639.1222537,574.0762116
Q8BKX1,304.3680556,319.8021912,309.8064363,319.7535624
A0A140T8J4,74.44791667,67.45486111,75.68029122,71.26713316
Q80VP0,123.6180556,126.5138154,128.3447612,126.0828926
Q01063,51.49305556,54.40857327,49.23946968,56.46814683
Q5SSL4,103.8159722,115.54604,113.1969394,108.405067
A2BH06,133.5034722,118.2617121,127.3403358,131.7378635
P18872,1140.173611,1133.281489,1148.483597,1165.340877
P47809,168.1354167,172.5917465,168.1824466,176.2224263
O54962,37.38541667,31.86351712,35.07118895,36.4703331
Q8R1I1,73.95486111,86.76323436,74.99257649,83.97269275
P63328,1200.590278,1127.308117,1214.585651,1181.139754
G5E829,748.8888889,814.2038458,783.8590575,791.9980065
Q8CBW3,236.4756944,235.3729969,242.6773348,239.0916859
S4R2F3,2306.354167,2200.136865,2325.425915,2297.452757
P31648,288.9895833,251.5840658,294.0206687,270.3390251
Q9CQZ6,98.03125,91.25985638,99.48336482,95.82336091
P35979,93.63888889,91.63595761,93.02246592,95.81127763
Q9JIS5,444.375,451.5924856,460.5878906,452.9112103
Q5F2C5,245.2048611,224.427345,245.7041846,239.3273098
P70206,254.5347222,226.2746657,256.9564644,242.8193751
O54781,72.20833333,81.81860941,68.10185589,83.67665261
D0VYV6,930.8333333,918.8484812,930.2699036,954.6690443
Q3TU36,266.5451389,254.2831453,264.8425615,268.6805961
Q9Z1G3,674.6875,574.6605502,679.7969604,628.6321808
O35633,102.0381944,99.62257777,103.5915554,102.8950953
A0A0R4J0W7,84.35763889,85.54643628,82.13214124,89.50683089
P99028,465.1736111,467.8754563,477.7355144,474.5100575
Q5EBJ4,81.62152778,85.70130148,76.16893063,90.75442866
F6SLR4,86.18402778,80.83964005,85.7924124,85.90903696
Q9R1P4,74.77083333,79.44032225,78.42210126,77.97939027
F6VQ81,60.17013889,48.29029127,64.88950419,51.30556924
A0A2R8VHK1,138.5243056,117.9243271,145.9403045,124.8745655
P97351,499.4444444,458.7273472,517.7767996,477.9537898
Q91YR1,117.6493056,109.716471,117.4996809,116.660962
P99027,145.3715278,137.7028269,146.6280193,144.660922
A0A087WP83,38.10069444,47.25767217,37.02257948,46.19132473
Q9CQB4,352.3611111,347.7553618,364.6200149,353.7075543
Q8VD37,65.46527778,62.78678119,73.29591187,60.8271869
P11499,1673.263889,1630.896597,1760.594949,1647.70506
P16054,499.8611111,459.9330834,498.6384226,492.6349642
F8VPK5,158.3958333,156.2755904,160.2873006,161.5170853
D3Z0V2,103.1145833,99.73319577,101.9084641,105.4688321
Q8BTY5,101.4305556,107.2994675,106.8355782,105.4356031
Q8BLF1,265.1701389,253.0552853,274.8868161,260.6995956
Q9CQZ5,156.2430556,170.4844735,162.5314224,167.3170554
Q68FL6,15.98923611,16.10819429,17.63083392,15.58953433
E9PZQ9,89.56597222,84.396009,92.61526641,87.64902802
D3YZ62,526.5277778,553.1453476,542.525481,554.1690225
E9Q6Z0,78.1875,92.81403938,83.54376621,87.33788377
Q03137,250.2256944,236.6893512,263.5395231,242.3602108
J3QNM7,61.73263889,62.14519674,64.98451742,62.30436679
Q501J6,103.5069444,100.3581875,102.8902674,105.9944544
P50518,463.9583333,422.0408849,472.577654,449.286229
O55125,150.2291667,152.2546258,152.0754438,156.4783612
Q7TSJ2,411.7708333,355.17783,408.8690284,393.3708918
Q8BLQ9,492.0833333,466.3710515,506.8729017,485.5964587
Q8K183,185.2604167,164.1571235,188.9450972,176.5849243
D3YX34,525.6597222,475.1154049,529.0426527,511.9379898
A0A494B9U7,59.60416667,62.64850868,61.26995299,63.00519652
Q64520,55.44097222,49.63098153,56.7002696,53.1845179
P35436,83.97222222,90.69017364,86.64753137,90.29828522
P62812,145.65625,147.9349926,160.0067854,143.981238
F7B6X4,73.44444444,75.12621994,80.02827711,73.39680969
Q3V3R1,14.30659722,11.89641364,14.74243205,13.05657863
A0A494B9D8,57.84375,47.21010643,59.00320905,52.61358334
P62746,405.3472222,366.3779033,414.4838572,391.5584011
A0A1Y7VL44,134.1736111,149.8099679,140.266658,146.4885168
A0A0G2JGE8,655.5555556,620.3457873,673.4175014,650.0497789
A0A494,17.60798611,19.36976624,18.3253353,19.09912044
Q99J08,144.7291667,129.6830214,144.4065197,141.6642708
E9QAN4,59.17361111,57.20057179,63.06615528,58.02084717
Q8R164,101.1770833,113.5161995,104.6050298,111.7611956
P68404,734.0972222,687.214373,723.7745075,744.2992937
P97447,34.61423611,31.59139683,36.36608339,33.06587146
F7C386,14.09722222,12.21554659,14.67094592,13.1299845
Q9ERT9,90.52083333,92.00652793,93.17629684,93.96857883
A0A0U1RQ95,92.50694444,79.53434756,94.1219046,87.19288449
Q9D7P6,142.0520833,128.6763975,144.347702,138.3655378
P08226,374.8958333,294.5646928,401.6570726,321.6868858
P85094,61.89930556,68.92054971,64.68590444,67.64517263
P52760,159.2083333,155.6284751,165.8116406,160.0489678
D3Z5P0,89.77430556,83.34513793,92.66955969,87.92694321
P43023,35.28472222,32.59802069,38.84457107,32.84837258
Q9DBP5,377.6388889,334.0940378,383.4869255,363.3741712
Q4ACU6,58.11805556,56.96274309,56.87672273,61.02656087
P10649,528.3680556,539.7882233,544.6519673,550.9367474
E9Q919,108.40625,129.6830214,114.8393108,123.5333225
Q91Z61,165.9965278,146.13745,172.5756769,156.6928393
Q9CQM8,130.4895833,138.8753778,144.2526888,133.3660843
Q61425,73.55555556,68.7214373,71.00654574,75.73190184
Q8BUN9,57.60069444,65.95045621,60.54151832,64.05342029
P60202,949.7569444,851.0396424,862.3580742,990.314694
D3Z0P6,37.45138889,34.87564547,38.19486163,37.13491302
Q9CXY6,31.54791667,29.75126628,33.74190876,30.48609308
D3Z6P1,86.26041667,80.79539284,82.41265646,89.5672473
Q61644,1924.097222,1659.60197,1983.785526,1807.325072
F8SLP9,53.44791667,50.33340588,59.25205319,50.25432465
Q8BKX6,51.00694444,61.72484831,57.30201998,56.53158401
E0CX61,60.28472222,47.45014751,63.74029669,52.56827107
P54728,34.95833333,32.76394771,36.21858667,34.46451009
D3Z7G3,33.22916667,50.19126174,37.02348436,43.65685862
Q6ZWQ9,124.6284722,123.8645142,132.3850852,125.4757082
Q3TET1,14.09201389,9.807945656,13.06250785,12.67716391
Q9DD18,36.97569444,29.48633614,36.67555502,34.15034504
Q9CQD4,76.72569444,75.47466667,81.16391129,76.9825204
Q8R191,132.4826389,117.9187962,140.3435735,124.569463
A2AI78,250.40625,227.9062813,253.7622104,246.5742516
A0A0U1RPN1,141.6701389,148.8475912,146.8044723,150.5847457
F6SFF5,176.3402778,160.3518641,185.180764,169.5343357
Q810U3,1163.958333,1122.662161,1190.696613,1183.314742
P51881,348.7847222,314.8409736,359.8784029,338.3013836
B1ATI9,341.0347222,297.6841205,354.5531381,322.2910494
B2RUJ5,56.66319444,69.46257796,55.61892868,69.08006108
P55264,230.8854167,208.1664979,236.0807027,225.4164438
Q6PHN9,167.3888889,181.5960524,161.7622677,190.1423546
E9Q3E8,136.75,121.8291428,139.2984281,132.9612947
P14211,289.5034722,262.8173246,303.2098042,279.2141878
A2AJA9,31.55069444,28.65061709,34.01563732,29.79341956
Q8R5J9,79.84375,81.34295198,82.44432753,83.75821469
Q06890,136.7673611,125.7671439,137.5112747,136.918566
O70172,77.66666667,79.46797675,78.47639452,82.87915672
Q62095,148.7569444,141.6187044,147.9627287,153.3004609
P62242,67.69444444,67.62078813,68.48190877,71.12817553
