,pvalue,FoldChange,log(pvalue),log2FC,sig,size
STOML2,0.9351219782018304,1.0069380313559246,0.029131735646415195,-0.009974900220158126,normal,0.10069380313559247
FSCN1,0.17549026442674387,1.0225846767059437,0.7557469716370245,-0.032220312708021635,normal,0.10225846767059436
CSNK2A1,0.9685280225317335,1.0031624729163704,0.01388780927131263,-0.004555284801535855,normal,0.10031624729163705
PSMC2,0.608764221858982,1.0500876810632531,0.21555087973586234,-0.07050979622836243,normal,0.10500876810632531
PGM1,0.4111455046301573,1.0246566882490524,0.3860044538542666,-0.035140614974050695,normal,0.10246566882490524
MPP2,0.3504432220199276,1.0286400831716191,0.45538233536030676,-0.0407382776113019,normal,0.10286400831716191
CNRIP1,0.6977875401794432,1.0146444225140026,0.15627678965951156,-0.020974230117173788,normal,0.10146444225140025
PAK1,0.4423811638666424,1.034860988489466,0.35420337312047445,-0.04943698541913099,normal,0.10348609884894659
CNTN2,0.7529543744143656,1.0224066437253632,0.12323133925801096,-0.031969116239576094,normal,0.10224066437253632
PEPD,0.08888069800022537,1.0229791584090553,1.0511925434409968,-0.03277675274092215,normal,0.10229791584090553
MAPK15,0.7237543895843755,1.0421059060955902,0.14040878925208453,-0.059501901834118076,normal,0.10421059060955902
FUS,0.9377459480484464,1.006334493628676,0.027914803737093062,-0.009109919546783168,normal,0.1006334493628676
SLIRP,0.43763630633329087,1.0347878482065251,0.3588866560847122,-0.049335017276844306,normal,0.10347878482065251
GNAI1,0.5906625163696262,1.036828855588815,0.22866058873313735,-0.05217777498987073,normal,0.1036828855588815
RANBP1,0.0328679224652011,1.0230696359349254,1.4832277461895613,-0.032904346450642684,normal,0.10230696359349253
AP2A2,0.9128502120805161,1.0070546945308554,0.039600479205824816,-0.010142040232087516,normal,0.10070546945308553
DUSP12,0.8852669421229715,1.0081616386574388,0.052925753019316644,-0.011726964824329006,normal,0.10081616386574388
RPL36,0.967051004814044,0.9958069730942645,0.014550619479433,0.006061977039844817,normal,0.09958069730942645
AP3D1,0.6384345781505854,1.0478434664070744,0.19488359926804605,-0.06742321391220217,normal,0.10478434664070743
HSPA1A,0.9748117145954136,0.9969529476835757,0.011079260413066025,0.0044026782733490935,normal,0.09969529476835756
