# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "64" "-p" "-t" "exon" "-g" "gene_id" "-a" "/public5/xiongyy/refer/Mus_musculus.GRCm39.108.gtf" "-o" "/public5/xiongyy/mouse_EV/00.CleanData/all.id.txt" "/public5/xiongyy/mouse_EV/00.CleanData/1--1/1--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/1--2/1--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/2--1/2--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/2--2/2--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/3--1/3--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/3--2/3--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4--1/4--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4--2/4--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4-3/4-3.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4-4/4-4.bam" "/public5/xiongyy/mouse_EV/00.CleanData/Blank-1/Blank-1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/Blank-2/Blank-2.bam" 
Geneid	/public5/xiongyy/mouse_EV/00.CleanData/1--1/1--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/1--2/1--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/2--1/2--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/2--2/2--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/3--1/3--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/3--2/3--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/4--1/4--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/4--2/4--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/4-3/4-3.bam	/public5/xiongyy/mouse_EV/00.CleanData/4-4/4-4.bam	/public5/xiongyy/mouse_EV/00.CleanData/Blank-1/Blank-1.bam	/public5/xiongyy/mouse_EV/00.CleanData/Blank-2/Blank-2.bam
ENSMUSG00000101154	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065865	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	283	254	258	151	420	264	167	418	226	224	112	126
ENSMUSG00002076328	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103933	1	1	2	3	3	3	0	3	7	0	4	2
ENSMUSG00000101573	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075967	1	1	1	0	6	5	2	2	3	3	0	2
ENSMUSG00000086195	0	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000107979	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101373	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099615	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100265	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100527	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099571	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101303	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	0	1	0	0	0	0	0	0	0	0	0	3
ENSMUSG00000100305	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099534	1	1	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000103411	0	0	0	2	0	0	0	0	0	4	0	0
ENSMUSG00000100886	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101415	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	812	758	591	332	1165	1252	914	1373	670	754	358	648
ENSMUSG00000100617	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100177	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101363	1	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000101590	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102030	3	8	3	1	5	4	0	1	16	2	10	0
ENSMUSG00000099870	0	0	0	1	0	0	2	1	1	0	1	0
ENSMUSG00000026374	1759	1867	1700	1542	1804	1971	1455	1735	1315	1577	883	1410
ENSMUSG00000026377	1179	902	805	627	1084	1389	1034	1283	811	972	535	726
ENSMUSG00000099936	0	4	0	0	0	0	0	0	0	0	0	0
