Protein IDs,pvalue,FoldChange,log(pvalue),log2FC,sig,size
P63101,0.1128041865939497,1.084855142015593,0.9476747817275927,-0.11750241608192301,normal,0.1084855142015593
P56480,0.058589046519812706,1.0793867200582576,1.232183569658525,-0.11021184272525246,normal,0.10793867200582577
Q68ED2,0.566346208820865,1.1439146396653388,0.24691800235510653,-0.1939794004326019,normal,0.11439146396653388
P62484,0.5392109018325757,1.1425716080030843,0.2682413357645253,-0.19228458565407625,normal,0.11425716080030843
Q99LF4,0.2534968832596422,1.076665147510191,0.5960273759419273,-0.10656962858096035,normal,0.1076665147510191
Q91VD9,0.029777131855897514,1.0793569482010608,1.526117135970825,-0.1101720494775684,down,0.10793569482010608
Q61941,0.3418386768836149,1.1073051910840472,0.4661788011622413,-0.14705290683613328,normal,0.11073051910840473
D3Z7P4,0.3714689866749983,1.0674225732080462,0.4300774389105303,-0.09413142600506212,normal,0.10674225732080463
P80315,0.016323454702446297,1.0862376925925945,1.7871879215974984,-0.11933983095339767,down,0.10862376925925946
D3YUK4,0.22227987781003702,1.0734161309226393,0.6530998506235725,-0.10220947370361694,normal,0.10734161309226393
D3Z2H9,0.7797631027320693,1.042235987797053,0.10803731885177323,-0.05968197615532656,normal,0.1042235987797053
P47746,0.9183651763058959,1.0223847636380161,0.036984592743276666,-0.03193824140960827,normal,0.10223847636380161
Q6P1J1,0.5351134795952807,1.059667250236782,0.271554108939565,-0.08361131026257781,normal,0.10596672502367821
P02802,0.9522076193842999,0.9769915941293354,0.021268347705745014,0.03358194534476807,normal,0.09769915941293354
P97384,0.004489077367615538,1.08131677508962,2.347842909626425,-0.11278922696073182,down,0.10813167750896199
Q3V2Y9,0.2665054861190765,1.1033528625734863,0.5742938464245815,-0.14189425210158557,normal,0.11033528625734863
O55057,0.25202782200910434,1.0965328627393869,0.598551513670555,-0.13294904976863503,normal,0.1096532862739387
Q9CQJ8,0.029053899859595205,1.085908441886461,1.5367955646909726,-0.11890246777875128,down,0.1085908441886461
Q9QYB5,0.06003216282683942,1.0885037594992761,1.2216160096869224,-0.12234639034798038,normal,0.10885037594992761
P63216,0.40777883432239226,1.1168964442948293,0.3895753199397931,-0.15949542912646772,normal,0.11168964442948293
A0A1B0GSA1,0.22502902640892306,1.0728811901860538,0.6477614587945593,-0.10149032230158908,normal,0.10728811901860538
Q9DCR2,0.02235572603570605,1.0810776640153819,1.6506112212027662,-0.11247016920124761,down,0.10810776640153819
P35438,0.48312086746319616,1.1224298888460473,0.3159442036056073,-0.16662533167187887,normal,0.11224298888460474
A2A5R2,0.06578970980700345,1.087883414471414,1.1818420292358143,-0.12152395513950494,normal,0.1087883414471414
P61161,0.04396375161005844,1.0792165617475145,1.3569052545099887,-0.10998439328731928,down,0.10792165617475144
P35486,0.14375638460849963,1.0713009423005917,0.8423728580215262,-0.09936380873172253,normal,0.10713009423005918
Q99KY4,0.4032248498721178,1.1097775489514807,0.39445271111168495,-0.15027052235290955,normal,0.11097775489514808
A0A1Y7VNT1,0.6623112050001244,1.0502760908856874,0.17893789748435193,-0.070768625599579,normal,0.10502760908856874
Q3TXX4,0.1353275192330907,1.0778420421859976,0.8686138794126176,-0.10814576653903434,normal,0.10778420421859976
O88745,0.6073944301627587,1.0571774434914518,0.2165291949015697,-0.08021754830041748,normal,0.10571774434914519
A0A0G2JGQ5,0.09762873128716049,1.0829836102570785,1.0104223544313433,-0.11501140953926249,normal,0.10829836102570785
Q9CPU0,0.47238415593640715,1.1235963303807364,0.3257046773260596,-0.1681238178021547,normal,0.11235963303807364
F6RQR3,0.4957583208704712,1.1262866992214517,0.30472998780787675,-0.171574115958622,normal,0.11262866992214518
E0CZD7,0.38189756990701906,1.0632581034976876,0.4180531051232255,-0.08849185033765003,normal,0.10632581034976876
Q6PDG5,0.2310489192768762,1.09275391046714,0.6362960585375584,-0.12796854087943257,normal,0.109275391046714
Q8C7M3,0.6539871240104228,1.1979742733266523,0.18443080217461755,-0.26059692637161724,normal,0.11979742733266523
P40124,0.41104198264370084,1.0608121096553682,0.3861138182715247,-0.08516914968081285,normal,0.10608121096553683
P62627,0.150542801251026,1.0820572978604817,0.8223400070174081,-0.1137768957918152,normal,0.10820572978604817
Q8CAD1,0.2331420858171617,1.095131854770434,0.6323793224109561,-0.13110458194632704,normal,0.1095131854770434
O55042,0.014016791613819019,1.0763431158714412,1.8533513832218595,-0.10613805248383143,down,0.10763431158714412
Q8BWG8,0.1264787842399546,1.071071116301702,0.8979823176521968,-0.09905427442015775,normal,0.1071071116301702
Q8BW75,0.26728095758701065,1.0992959104663986,0.5730319814210711,-0.13657978583150598,normal,0.10992959104663987
P26883,0.3127808457339668,1.1009499945065075,0.504759850390794,-0.13874894272987004,normal,0.11009499945065075
Q8VD62,0.08825179965440655,1.071399274567572,1.054276429600095,-0.09949622433789519,normal,0.1071399274567572
A2AH27,0.438925861825353,1.1159069030085493,0.3576088294599985,-0.158216672175784,normal,0.11159069030085493
Q8BKZ9,0.4549772330420807,1.068186896314112,0.3420103347969001,-0.09516409159076489,normal,0.1068186896314112
A0A087WQE6,0.15166544937275103,1.068276396483555,0.8191133437734422,-0.09528496560823596,normal,0.10682763964835551
P00761,0.01699588525426031,1.0745984638257442,1.7696562096612354,-0.10379768077858287,down,0.10745984638257441
Q9D164,0.3916418195737099,1.0625713953711267,0.407110940361259,-0.08755978081493943,normal,0.10625713953711266
A2AUK8,0.3220574201148707,1.0627943091437295,0.4920666903667249,-0.08786240788262577,normal,0.10627943091437295
D3Z786,0.2997494262806869,1.0985270133193012,0.523241639466379,-0.1355703467776845,normal,0.10985270133193012
E9PZ00,0.27499964863509097,1.0871074006988748,0.5606678610640595,-0.12049447836102758,normal,0.10871074006988748
D6RGM3,0.19308996371220014,1.0802688397231106,0.7142402990724183,-0.11139039152759547,normal,0.10802688397231106
Q91WS0,0.6790032306583141,1.0466941655102588,0.16812815936641892,-0.06583996150797895,normal,0.10466941655102588
O35857,0.6312087311493612,1.0498801786488792,0.19982700240991214,-0.07022468452650511,normal,0.10498801786488791
P58389,0.03969658166506395,1.074536869434302,1.4012468894060854,-0.10371498526683051,down,0.1074536869434302
F7CTF8,0.27460616473561034,1.0956737498138098,0.561289717351974,-0.13181828224549408,normal,0.10956737498138099
E9Q7A8,0.004827508011165393,1.0782778520732066,2.3162769968438472,-0.10872898157571517,down,0.10782778520732066
Q9CR00,0.026860956842752325,1.072851983443185,1.5708785209254608,-0.1014510476856978,down,0.10728519834431852
A0A1B0GSQ6,0.261699903311578,1.0633802001153425,0.582196437815816,-0.08865750914732573,normal,0.10633802001153425
Q9Z1Z2,0.737843686879523,1.0424991283222427,0.13203563426913217,-0.06004617737190199,normal,0.10424991283222426
P59999,0.007870975564721678,1.0779798622917733,2.1039714358597776,-0.10833022740103357,down,0.10779798622917733
Q9CZ13,0.3658899796679631,1.0604818781711023,0.4366494840211793,-0.08471996787831067,normal,0.10604818781711023
A0A1Y7VJ48,0.5197498753161451,1.054746093850224,0.2842056061802674,-0.0768957446861136,normal,0.1054746093850224
Q80YA7,0.15747272662598474,1.06735291530596,0.8027946526775139,-0.09403727548621373,normal,0.106735291530596
Q99LX0,0.38883354894896693,1.0590630101998968,0.41023627076523456,-0.0827884267227213,normal,0.10590630101998968
Q3UN10,0.267624303405866,1.087733118969636,0.5724744501127588,-0.12132462720455396,normal,0.1087733118969636
A0A0A6YY91,0.62914182966853,1.0482936458165883,0.20125143897602416,-0.06804289819508066,normal,0.10482936458165884
Q6PF96,0.4460099199331726,1.0735798839762667,0.3506554818162724,-0.10242954464666232,normal,0.10735798839762667
D3YVI6,0.1364666501555984,1.0702882700756122,0.8649734689383608,-0.0979994226043823,normal,0.10702882700756122
Q63810,0.5011654551151961,1.0926922323332595,0.3000188721748871,-0.12788710877624632,normal,0.10926922323332595
Q8BFQ8,0.03888662708186383,1.075913686386506,1.4101997247173046,-0.10556234442157897,down,0.1075913686386506
P47754,0.15271690200728022,1.0679672405840928,0.8161128945593202,-0.0948673936811482,normal,0.10679672405840927
P15864,0.2531744762416528,1.0886461462076447,0.5965800798006016,-0.12253509632344509,normal,0.10886461462076447
Q8JZK9,0.3376820745295528,1.089787641941779,0.47149199278337517,-0.12404703613498842,normal,0.10897876419417789
A0A2R8VHJ0,0.5925559628666458,1.1409605167308279,0.22727062723102484,-0.19024886761062612,normal,0.11409605167308279
Q8BRB6,0.5350626657188052,1.0522806404245977,0.271595351096327,-0.073519518845071,normal,0.10522806404245977
Q9CQ69,0.14578999594391406,1.0850021956605485,0.836272276123788,-0.11769796217701693,normal,0.10850021956605485
P84075,0.4440812721838572,1.0562494301299015,0.35253754152730876,-0.07895056302891723,normal,0.10562494301299015
P35908,0.8991206741647444,1.0319246310216275,0.04618201615691626,-0.04533760407311176,normal,0.10319246310216275
P45878,0.3293632263426497,1.0955178358762168,0.48232489177220905,-0.13161297270851008,normal,0.10955178358762167
P26040,0.2697317544194177,1.0895556653837395,0.5690679228191452,-0.12373990560624155,normal,0.10895556653837395
Q9QXL2,0.03097915238664504,1.0722448917980325,1.5089304690441705,-0.10063444295393018,down,0.10722448917980325
Q80SZ7,0.4874375976758232,1.1127021394529593,0.31208097528795437,-0.1540674476256531,normal,0.11127021394529593
Q9D1X0,0.1983555916256093,1.0819762547721707,0.702555552296368,-0.11366883789084882,normal,0.10819762547721708
P61982,0.4463340065585357,1.0559429548650534,0.35034002264170133,-0.07853189818475302,normal,0.10559429548650534
E9PX29,0.28140427932119183,1.0918487373718895,0.5506693025251224,-0.1267730018996669,normal,0.10918487373718895
A0A0G2JDL3,0.14119768106697278,1.083533808913519,0.8501724357777528,-0.11574416975913514,normal,0.1083533808913519
Q9D0E1,0.21827102410855306,1.0870456073421189,0.6610039138786126,-0.12041247036154828,normal,0.10870456073421189
E9PYI8,0.725839848423998,1.042987272445763,0.1391591928238062,-0.0607215527844136,normal,0.1042987272445763
