,ivl,module,name
,2655,11,MMT00078861
4921508E09Rik,649,11,MMT00019471
Pik3r1,704,11,MMT00021394
Olfr584,534,11,MMT00015662
Adcy1,1792,11,MMT00054235
Kcna5,925,11,MMT00028515
1700019B16Rik,338,11,MMT00010441
A230091H23,1349,11,MMT00041534
,688,11,MMT00020839
Prkcb,1072,11,MMT00032669
Olfr206,1270,11,MMT00038973
C630005D06Rik,2743,11,MMT00081532
Zic2,1055,11,MMT00031946
Olfr893,1134,11,MMT00034790
,1048,11,MMT00031857
,1972,11,MMT00059556
C920008G01Rik,528,11,MMT00015590
,2156,11,MMT00065745
,294,11,MMT00009216
Gpsm1,1569,11,MMT00047781
Gt(ROSA)26Sor,2133,11,MMT00064717
Olfr1234,1030,11,MMT00031344
Olfr135,2122,11,MMT00064367
,1801,11,MMT00054393
Dhx37,1806,11,MMT00054462
2010300C02Rik,1052,11,MMT00031885
9130003O20Rik,2262,11,MMT00068925
St14,1515,11,MMT00046479
Slc12a8,113,11,MMT00003906
2210008M09Rik,1781,11,MMT00053926
Anxa13,2523,11,MMT00075914
Tacstd1,1773,11,MMT00053622
BC016235,737,11,MMT00022673
Cldn7,782,11,MMT00024126
Agr2,965,11,MMT00029635
2310057J18Rik,2165,11,MMT00065851
,1065,11,MMT00032473
Spink3,2336,11,MMT00071034
Reg3a,1255,11,MMT00038527
Pap,2094,11,MMT00063424
1810008K16Rik,1887,11,MMT00056840
Clca3,2216,11,MMT00067476
C81234,486,11,MMT00014332
Amy1,913,11,MMT00028099
Spink4,1946,11,MMT00058742
,905,11,MMT00027714
AI987662,2268,11,MMT00069033
Nkx2-3,2619,11,MMT00078097
Slc9a2,774,11,MMT00023914
,2278,11,MMT00069333
Slc13a1,481,11,MMT00014249
9030623C06Rik,619,11,MMT00018540
,1176,11,MMT00036034
Calb3,806,11,MMT00024738
Ms4a10,614,11,MMT00018499
,696,11,MMT00021045
Slc5a1,2487,11,MMT00074989
Sectm1,1763,11,MMT00053348
5430425C04Rik,1762,11,MMT00053346
Lgals4,658,11,MMT00020013
Slc26a6,1459,11,MMT00045235
5730427N09Rik,1006,11,MMT00030667
Itln,2229,11,MMT00067843
Retnlb,1321,11,MMT00040748
ORF9,1652,11,MMT00050140
Ahcy,2303,11,MMT00070057
Ahcy,1487,11,MMT00045937
Ahcy,2356,11,MMT00071544
Etnk2,1858,11,MMT00055680
Prodh,1060,11,MMT00032189
Asl,2545,11,MMT00076481
H2-DMb1,594,11,MMT00017876
H2-Aa,624,11,MMT00018689
H2-Ab1,926,11,MMT00028559
H2-Eb1,499,11,MMT00014877
H2-DMa,697,11,MMT00021096
Ccl2,768,11,MMT00023852
Cxcl10,28,11,MMT00000988
Ccl7,725,11,MMT00022140
Ccl4,1892,11,MMT00057048
Ccl3,1953,11,MMT00059060
Cxcl16,1312,11,MMT00040391
Siglec5,1824,11,MMT00054913
Mmp13,2479,11,MMT00074692
Relb,1208,11,MMT00036919
Tlr2,1053,11,MMT00031893
Ier5,1346,11,MMT00041484
Itgax,2129,11,MMT00064508
,321,11,MMT00009927
Slamf8,353,11,MMT00010863
Rhoc,2364,11,MMT00071822
Card11,778,11,MMT00024063
2310057H16Rik,1339,11,MMT00041310
Ccl5,20,11,MMT00000608
Tnfsf6,968,11,MMT00029732
Eomes,13,11,MMT00000373
Sh2d2a,1579,11,MMT00048039
Cd2,148,11,MMT00004895
1810062O14Rik,169,11,MMT00005618
Tcra,2520,11,MMT00075889
Cd72,1157,11,MMT00035445
Slamf9,1601,11,MMT00048708
Pmaip1,219,11,MMT00007048
3110037K17Rik,1183,11,MMT00036211
Ptgs1,1461,11,MMT00045261
Arpc1b,1944,11,MMT00058725
Klra2,1218,11,MMT00037404
Emr4,1681,11,MMT00051110
Cd244,2009,11,MMT00060846
Fabp7,95,11,MMT00003342
Procr,2748,11,MMT00081757
Slc28a2,365,11,MMT00011141
